year,country,amount,value
2018,メキシコ,55,604
2018,ブラジル,271,2764
2018,オーストラリア,22,233
2018,ニュージーランド,156,1542
2018,グアム（米）,454,4435
2018,北マリアナ諸島（米）,275,2383
2018,台湾,19228,97282
2018,香港,116636,542486
2018,ベトナム,18766,110159
2018,タイ,50813,245710
2018,シンガポール,10620,42473
2018,マレーシア,1955,11987
2018,フィリピン,1093,6196
2018,インドネシア,2116,8237
2018,カンボジア,157207,871305
2018,ラオス,1933,8647
2018,ミャンマー,152,688
2018,マカオ,2447,11533
2018,カタール,169,1323
2018,アラブ首長国連邦,2257,17388
2018,タジキスタン,4868,33421
2018,フランス,35,222
2018,ドイツ,114,688
2018,ロシア,265,1926
2018,アメリカ合衆国,53241,118619
2018,オーストラリア,45,287
2018,ニュージーランド,80,508
2018,台湾,5452,28931
2018,香港,36252,166875
2018,ベトナム,9098,45701
2018,タイ,58570,249800
2018,シンガポール,4946,16909
2018,マレーシア,630,3452
2018,フィリピン,167,797
2018,インドネシア,817,3796
2018,カンボジア,46471,292912
2018,ラオス,121,524
2018,ミャンマー,105,475
2018,マカオ,7936,41526
2018,アラブ首長国連邦,1494,8744
2018,タジキスタン,3103,19139
2018,ドイツ,74,441
2018,ロシア,203,1483
2018,アメリカ合衆国,1219,5982
2018,オーストラリア,156,557
2018,北マリアナ諸島（米）,156,1361
2018,台湾,2896,19122
2018,香港,18062,51906
2018,ベトナム,1993,12013
2018,タイ,7319,32913
2018,シンガポール,4217,11669
2018,マレーシア,398,2270
2018,インドネシア,124,627
2018,カンボジア,1534,9730
2018,ラオス,42273,299209
2018,ミャンマー,425,1683
2018,マカオ,992,8833
2018,アラブ首長国連邦,559,6307
2018,タジキスタン,172,1297
2018,アメリカ合衆国,1607,6657
2018,オーストラリア,90,449
2018,グアム（米）,237,2337
2019,香港,326,1142
2019,台湾,127,500
2019,タイ,139,1160
2019,マレーシア,19,282
2019,ベルギー,39,352
2019,アメリカ合衆国,237,1723
2019,台湾,164884,1259686
2019,香港,208060,1562647
2019,ベトナム,3701,36821
2019,タイ,15427,112937
2019,シンガポール,128285,994998
2019,マレーシア,9428,81346
2019,フィリピン,4087,39158
2019,インドネシア,1789,18070
2019,マカオ,15843,158479
2019,カタール,58,564
2019,アラブ首長国連邦,244,5992
2019,デンマーク,1436,16694
2019,英国,59487,566181
2019,オランダ,50627,602311
2019,ベルギー,31880,308054
2019,フランス,5188,57059
2019,モナコ,307,4625
2019,ドイツ,16664,161994
2019,スイス,3416,38322
2019,スペイン,100,1272
2019,イタリア,12592,139043
2019,ポーランド,84,944
2019,ロシア,3310,39607
